libelle_unite;type_materiel;code_unite_terminal_de_saisie
BP d’Hasparren;Scanner;01685
PA de Bayonne;Scanner;08399
PMO d'Artix;Scanner;08988
BP de Morlaàs;Scanner;01667
BP de Mourenx;Scanner;15239
BTA d'Orthez;Bloc optique;01715
BTA d'Oloron-Sainte-Marie;Bloc optique;01703
CIC BDRIJ GGD65;Scanner;19993
BP de Lannemezan;Scanner;02364
BP de Vic-en-Bigorre;Scanner;02344
BTA de Bagnères-de-Bigorre;Bloc optique;02360
CIC BDRIJ GGD66;Scanner;20724
BP de Ceret;Scanner;04837
BTA d'Ille-sur Tet;Scanner;04856
BTA  de Saint-Laurent-de-la-Salanque;Bloc optique;04832
BTA  de Canet-en-Roussillon;Bloc optique;04826
BTA de Rivesaltes;Bloc optique;04830
BTA d'Elne;Bloc optique;04827
BTA de Saint-Cyprien;Bloc optique;04831
BTA d'Argelès-sur-Mer;Bloc optique;04839
BTA de Bompas;Bloc optique;17445
CIC BDRIJ GGD67;Scanner;20316
BTA d'Erstein;Scanner;03457
BP de Saverne;Bloc optique;03481
BTA  de Mundolsheim;Bloc optique;10408
BTA  de Molsheim;Bloc optique;03469
BTA de Bischwiller;Bloc optique;03463
BTA de La-Wantzenau;Bloc optique;03490
BTA de Niederbronn-les-Bains-Reichshoffen;Bloc optique;13954
BTA d'Obernai;Bloc optique;03459
CIC BDRIJ GGD68;Scanner;20333
BTA de Rixheim;Scanner;07790
BP d'Altkirch;Scanner;03530
BTA  de Cernay;Bloc optique;03559
BTA d'Illzach;Bloc optique;03549
BTA de Guebwiller;Bloc optique;60001
BTA de Thann;Bloc optique;03557
CIC BDRIJ GGD69;Scanner;20044
BTA de Villefranche-sur-Saône;Scanner;02521
BTA de Mions;Scanner;26775
BTA  de Neuville-sur-Saône;Bloc optique;02498
BTA  de Corbas;Bloc optique;02503
BTA  de Saint-Genis-Laval;Bloc optique;02501
BTA de Tassin-la-Demi-Lune;Bloc optique;09854
BTA de Limonest;Bloc optique;02496
BP de Fontaines-sur-Saône;Bloc optique;09852
BTA de Saint-Laurent-de-Mure;Bloc optique;02502
BTA de Brignais;Bloc optique;08318
BTA de Mornant;Bloc optique;02517
BTA de l'Arbresle;Bloc optique;02510
BTA de Dardilly;Bloc optique;02494
BTA de Francheville;Bloc optique;02407
BTA de Vaugneray;Bloc optique;02515
BTA de Tarare;Bloc optique;02530
BTA de Anse;Bloc optique;02522
